X,Y,OBJECTID,LDTC_TypeDescription,LDLI_Category,Library,Branch,SecondaryName,LDLI_Address1,LDLI_City,LDLI_State,LDLI_Zip,LDLI_County,LDLI_AddPhones,LDLI_FAX,LDLI_email,LDLI_URL,Longitude,Latitude,GlobalID
-122.49378,48.7950900000001,16,Academic Libraries,2-year,Whatcom Community College,Whatcom Community College,,237 W Kellogg Rd,Bellingham,WA,98226-8003,Whatcom,(360) 383-3300,3603834297,libref@whatcom.edu,http://library.whatcom.edu,-122.49378,48.79509,{0D53903F-C1AA-4D07-AB25-A71206DF4F20}
-120.5295038,46.5869818,17,Academic Libraries,2-year,Yakima Valley College Library,Yakima Valley College Library,,S 16th Ave & Nob Hill Blvd,Yakima,WA,98902,Yakima,(509) 574-4991,5095744989,yvcclibrary@yvcc.edu,https://www.yvcc.edu/services/library/,-120.5295038,46.5869818,{7893791E-F96E-4658-852F-6048AE34B359}
-119.91042,46.2559800000001,18,Academic Libraries,2-year,Yakima Valley College Library,Grandview Library,,500 W. Main Street,Grandview,WA,98930-1358,Yakima,(509) 882-7034,,library@grandview.wa.us,http://www.grandview.wa.us/departments/library/,-119.91042,46.25598,{B6A5A1DB-8841-46A8-AA67-8A7DF2BF46DE}
-122.33069,47.8186000000001,19,Academic Libraries,2-year,Edmonds College,Edmonds College,,20000 68th Ave W,Lynnwood,WA,98036-5999,Snohomish,(425) 640-1472,,,http://www.edcc.edu/library/,-122.33069,47.8186,{ADEDBC7E-DB42-4F24-99A5-F11ED1D79965}
-122.5101,48.7662700000001,20,Academic Libraries,2-year,Bellingham Technical College Library,Bellingham Technical College Library,,3028 Lindbergh Ave,Bellingham,WA,98225-1599,Whatcom,(360) 752-8383,3607528384,library@btc.edu,https://www.btc.edu/Library,-122.5101,48.76627,{0D71C8C2-3200-4D55-83BC-DAC32067F5AA}
-123.11136,47.2290800000001,21,Academic Libraries,2-year,"Olympic College, Haselwood Library",The Johnson Library - Olympic College Shelton Campus,,937 W Alpine Way,Shelton,WA,98584-1200,Mason,(360) 432-5460,,,http://libguides.olympic.edu/index,-123.11136,47.22908,{91953CCE-11AE-4395-8512-EF2707F5FE08}
-122.33376,47.7030500000001,22,Academic Libraries,2-year,Seattle Colleges Library Technical Services,North Seattle Community College,,9600 College Way N,Seattle,WA,98103,King,(206) 934-3609,,,http://libguides.northseattle.edu/welcome,-122.33376,47.70305,{57274FCF-FB59-47F9-B9AC-E8319F37B62B}
-122.32135,47.6168900000001,23,Academic Libraries,2-year,Seattle Colleges Library Technical Services,Seattle Central Community College,,"1701 Broadway, 2BE2101",Seattle,WA,98122-2413,King,(206) 934-5421,2069343878,,http://www.seattlecentral.edu/library,-122.32135,47.61689,{28495BB4-A23D-487A-A4BE-5FB68AEF51A8}
-122.32174,47.61438,24,Academic Libraries,2-year,Seattle Colleges Library Technical Services,Seattle Colleges Library Technical Services,,1500 Harvard Ave,Seattle,WA,98122,King,(206) 934-4106,,,http://www.seattlecolleges.edu,-122.32174,47.61438,{7CEB4711-E759-47C6-A95F-E845F9753F46}
-122.35307,47.5469900000001,25,Academic Libraries,2-year,Seattle Colleges Library Technical Services,South Seattle Community College,,6000 16th Ave SW,Seattle,WA,98106-1499,King,(206) 934-6408,2067635155,,http://www.southseattle.edu/library/,-122.35307,47.54699,{E0E47887-D831-42B4-B775-72382E7536CE}
-122.17827,47.4893200000001,26,Academic Libraries,2-year,Renton Technical College,Renton Technical College,,3000 NE 4th Street,Renton,WA,98056,King,(425) 235-2331,4252357816,librarian@rtc.edu,http://www.rtc.edu/library,-122.17827,47.48932,{6C31F2BD-4F6B-4A0A-AF5F-36746F8048B0}
-122.27393,47.15815,27,Academic Libraries,2-year,Pierce College - Fort Steilacoom,Pierce College - Puyallup,,1601 39th Ave SE,Puyallup,WA,98374-2210,Pierce,(253) 840-8300,,library@pierce.ctc.edu,https://www.pierce.ctc.edu/library,-122.27393,47.15815,{05B1B12F-D52D-4280-89F2-61F673C2EBBD}
-122.57186,47.1761300000001,28,Academic Libraries,2-year,Pierce College - Fort Steilacoom,Pierce College - Fort Steilacoom,,9401 Farwest Dr SW,Lakewood,WA,98498,Pierce,(253) 964-6547,,library@pierce.ctc.edu,https://www.pierce.ctc.edu/library,-122.57186,47.17613,{9FBD90AE-D67F-48BF-8A26-E5E3D6982791}
-122.35593,47.74616,29,Academic Libraries,2-year,Shoreline Community College Library,Shoreline Community College Library,,16101 Greenwood Ave N,Shoreline,WA,98133-5667,King,206-546-4556,,library@shoreline.edu,http://www.shoreline.edu/library,-122.35593,47.74616,{F53C04E4-6B42-4540-AF3E-415DE0CAFEF9}
-122.66264,47.7654900000001,30,Academic Libraries,2-year,"Olympic College, Haselwood Library",Olympic College Poulsbo Campus Library,,1000 Olympic College Way,Poulsbo,WA,98370-7198,Kitsap,360-394-2721,,,http://libguides.olympic.edu/index,-122.66264,47.76549,{23E03CAC-329F-41AA-8BCE-6F58A643041D}
-117.36338,47.67218,31,Academic Libraries,2-year,Spokane Community College,Spokane Community College,,1810 N Greene St,Spokane,WA,99217-5399,Spokane,509-533-8255,5095337276,reference@scc.spokane.edu,http://scc.spokane.edu/For-Our-Students/Libraries,-117.36338,47.67218,{A4210902-BA0E-43DA-863B-88B368148C47}
-122.63579,47.5756700000001,32,Academic Libraries,2-year,"Olympic College, Haselwood Library","Olympic College, Haselwood Library",,1600 Chester Ave,Bremerton,WA,98337-1699,Kitsap,360-475-7250,,librarians@olympic.edu,http://libguides.olympic.edu/index/,-122.63579,47.57567,{4B909CFF-29EA-4BDF-B7F1-23F083BA2079}
-122.93791,46.14286,33,Academic Libraries,2-year,Lower Columbia College Library & Learning Commons,Lower Columbia College Library & Learning Commons,,1600 Maple St,Longview,WA,98632-0310,Cowlitz,(360) 422-2660,,library.circulation@lcc.ctc.edu,http://lowercolumbia.edu/library/index.php,-122.93791,46.14286,{8BF6780F-A2DC-4309-A26F-0AB8DF7EBF3B}
-122.1680562,47.7052574000001,34,Academic Libraries,2-year,Lake Washington Institute of Technology,Lake Washington Institute of Technology,,LWTECH Library Learning Commons,Kirkland,WA,98034-8505,King,(425) 739-8320,4257398198,library@lwtech.edu,http://www.lwtech.edu/campus-life/library/,-122.1680562,47.7052574,{187FFC90-AF42-4062-B4B1-3C3B8EF28EDF}
-122.18022,47.3124700000001,35,Academic Libraries,2-year,Green River College,Green River College,,12401 SE 320th St,Auburn,WA,98092-3622,King,253-833-9111,2532883436,librarian@greenriver.edu,http://www.greenriver.edu/library,-122.18022,47.31247,{2953B26B-7261-4867-AA66-D4CFCE344E4D}
-123.80215,46.9533300000001,36,Academic Libraries,2-year,John Spellman Library at Grays Harbor College,John Spellman Library at Grays Harbor College,,1620 Edward P. Smith Dr,Aberdeen,WA,98520,Grays harbor,(360) 538-4050,3605384294,lib-ref@ghc.edu,http://www.ghc.edu/library,-123.80215,46.95333,{9C3AA98A-48C1-4033-AE9C-B609DC130CE4}
-122.20578,48.00687,37,Academic Libraries,2-year,Everett Community College Library,Everett Community College Library,,2000 Tower Street,Everett,WA,98201-1352,Snohomish,"425-388-9353 (circulation); 425-388-9354 (reference)",4253889144,library@everettcc.edu,http://everettcc.edu/library,-122.20578,48.00687,{BAAA615F-1381-45A1-92C6-50C25F900840}
-119.27887,46.2778000000001,38,Academic Libraries,2-year,Columbia Basin College,Richland Health Science Center,,891 Northgate Dr,Richland,WA,99352,Benton,509-544-8336,,library@columbiabasin.edu,http://www.columbiabasin.edu/medicallibrary,-119.27887,46.2778,{BA196175-20F1-491B-9A57-403AB288D841}
-119.12696,46.25233,39,Academic Libraries,2-year,Columbia Basin College,Columbia Basin College,,2600 N 20th Ave,Pasco,WA,99301-3379,Franklin,(509) 542-4887,,library@columbiabasin.edu,http://www.columbiabasin.edu/library,-119.12696,46.25233,{B2B26AB7-CCFC-4560-82E8-6150BD6C8128}
-123.41487,48.0998200000001,40,Academic Libraries,2-year,Peninsula College Library/Media Center,Peninsula College Library/Media Center,,1502 E. Lauridsen Blvd.,Port Angeles,WA,98362,Clallam,(360) 417-6280,3604176295,pclibrary@pencol.edu,http://www.pencol.edu/library,-123.41487,48.09982,{71E84E2F-89CE-422E-9B5B-8485732C88E3}
-117.47368,47.67598,41,Academic Libraries,2-year,Mukogawa Ft. Wright Institute,Mukogawa Ft. Wright Institute,,4000 W Randolph Rd,Spokane,WA,99224-5279,Spokane,(509) 328-2971,5093256540,,http://www.mfwi.org/library,-117.47368,47.67598,{361CD54F-2DC1-4508-B12B-05CA5EC27F0B}
-122.33131,47.6004500000001,42,Academic Libraries,2-year,Pinchot University,Pinchot University,,"220 Second Avenue S, 4th Floor",Seattle,WA,98104,King,(206) 855-9559,,,http://pinchot.edu,-122.33131,47.60045,{C87F65E5-B04C-46DA-BA59-BF21CCEE01AC}
-117.15829,46.7298500000001,43,Academic Libraries,4-year,Washington State University Libraries,Washington State University Libraries,,PO Box 645610,Pullman,WA,99164-5610,Whitman,(509) 335-9672,5093356721,lib.reference@wsu.edu,http://libraries.wsu.edu,-117.15829,46.72985,{FFB97401-B515-4B5B-867D-1EEB4F55055D}
-122.3052561,47.6567361,44,Academic Libraries,4-year,University of Washington Libraries,Mathematics Research Library,,C306 Padelford,Seattle,WA,98195-4350,King,(206) 543-7296,,mathlib@uw.edu,http://www.lib.washington.edu/math,-122.3052561,47.6567361,{3AF14B64-2F98-4A3B-8FEF-D0181121C47A}
-122.43882,47.25244,45,Academic Libraries,4-year,Northwest College of Art & Design,Northwest College of Art & Design,,1126 Pacific Ave,Tacoma,WA,98402,Pierce,253-272-1126,,drothrock@ncad.edu,http://www.ncad.edu,-122.43882,47.25244,{77C40031-21B0-40EA-A75D-18D38A744FDF}
-123.014633,48.5450453,46,Academic Libraries,4-year,University of Washington Libraries,Friday Harbor Library,,Box 352900,Seattle,WA,98195-2900,King,(206) 616-0758,,,http://www.lib.washington.edu/fhl/,-123.014633,48.5450453,{B9F55681-5B15-481A-905F-E820E3743160}
-118.38953,46.0480700000001,47,Academic Libraries,4-year,Walla Walla University Libraries,Walla Walla University Libraries,,104 S College Ave,College Place,WA,99324-1159,Walla Walla,(509) 527-2134,5095272001,reference@wallawalla.edu,https://library.wallawalla.edu,-118.38953,46.04807,{DB00BBC7-BBA6-4FC3-9FFB-64521943690F}
-122.5568839,45.5121960000001,48,Academic Libraries,4-year,Walla Walla University Libraries,School of Nursing Library,,10345 SE Market St,"Portland, OR",WA,97216-2947,Clark,(509) 527-2124,,,https://wallawalla.edu/academics/libraries/portland-library/,-122.5568839,45.512196,{E962DA29-9865-471E-AAA9-084B47BF3E23}
-122.3064958,47.6596743000001,49,Academic Libraries,4-year,University of Washington Libraries,Drama Library,,145 Hutchinson,Seattle,WA,98195-3950,King,(206) 543-5148,2065438512,,http://www.lib.washington.edu/drama/,-122.3064958,47.6596743,{22AC131F-0AA3-4B7C-AC38-D7FCFA9BF6C6}
-117.40568,47.6613400000001,50,Academic Libraries,4-year,Washington State University Libraries,Spokane Academic Library,,600 N Riverpoint Blvd,Spokane,WA,99210-1495,Spokane,509-358-7930,5093587928,spok.lib@wsu.edu,http://spokane.wsu.edu/services2/library/,-117.40568,47.66134,{ED0EE810-12CB-4026-9DE7-A1AEFDBA68A1}
-122.31711,47.6106500000001,51,Academic Libraries,4-year,Seattle University Law Library,Seattle University Law Library,,901 12th Avenue Sullivan Hall,Seattle,WA,98122-1090,King,(206) 398-4220,,lawreference@seattleu.edu,https://law.seattleu.edu/library,-122.31711,47.61065,{37BC1CFA-71F1-40BF-B205-E0AF62DA52C0}
-117.15829,46.7298500000001,52,Academic Libraries,4-year,Washington State University Libraries,Owen Science & Engineering Library,,PO Box 643200,Pullman,WA,99164-3200,Whitman,(509) 335-2672,5093352534,lib.reference@wsu.edu,http://libraries.wsu.edu,-117.15829,46.72985,{943EB40E-2982-4216-AAE7-2401084D7AF8}
-122.25136,47.7302000000001,53,Academic Libraries,4-year,Bastyr University Library,Bastyr University Library,,14500 Juanita Dr NE,Kenmore,WA,98028-4966,King,(425) 602-3020,,library@bastyr.edu,http://www.bastyr.edu/library,-122.25136,47.7302,{CCD214CD-4EE6-4A39-9D11-2710E8969509}
-119.26403,46.33032,54,Academic Libraries,4-year,Washington State University Libraries,Tri-Cities Library,,2710 Crimson Way,Richland,WA,99354-1671,Benton,(509) 372-7430,5093727281,lib-req@tricity.wsu.edu,http://tricity.wsu.edu/Library/,-119.26403,46.33032,{4CE634D1-98B5-4C48-AD1D-264EA4F9E14B}
-122.3080138,47.6562883,55,Academic Libraries,4-year,University of Washington Libraries,East Asia Library,,322 Gowen Hall,Seattle,WA,98195-3527,King,(206) 543-4490,,ealcirc@lib.u.washington.edu,http://www.lib.washington.edu/east-asia/,-122.3080138,47.6562883,{B9868A02-A024-4134-B8BE-677912074B7A}
-122.304502,47.6546331000001,56,Academic Libraries,4-year,University of Washington Libraries,Engineering Library,,Engineering Library Building,Seattle,WA,98195-2170,King,(206) 543-0740,2065433305,,http://www.lib.washington.edu/engineering/,-122.304502,47.6546331,{07BA6358-039C-4480-9114-EA6C5A1822DC}
-122.19578,47.6574900000001,57,Academic Libraries,4-year,Northwest University,Northwest University,,5520 108th Ave NE,Kirkland,WA,98033,King,(425) 889-5266,4258897801,library@northwestu.edu,http://library.northwestu.edu,-122.19578,47.65749,{1F9C8AA7-FEAE-41BC-AB3F-DBE85AAB0D16}
-117.40568,47.6613400000001,58,Academic Libraries,4-year,Eastern Washington University Libraries,Spokane Academic Library,,600 N Riverpoint Blvd,Spokane,WA,99210-1495,Spokane,(509) 358-7930,5093587928,circulation@ewu.edu,https://spokane.wsu.edu/library/,-117.40568,47.66134,{5A5A183F-42E4-415C-B89F-7A7F2115C867}
-117.5843,47.5017,59,Academic Libraries,4-year,Eastern Washington University Libraries,Eastern Washington University Libraries,,320 Media Lane,Cheney,WA,99004-2453,Spokane,509-359-2264,5093594840,ewuliboffice@ewu.edu,http://www.ewu.edu/library,-117.5843,47.5017,{02882031-9C47-4108-9A36-7E7C93781D23}
-117.40302,47.6682900000001,60,Academic Libraries,4-year,Gonzaga University,Gonzaga University,,502 E Boone Ave,Spokane,WA,99258-0095,Spokane,(509) 313-5931,5093135904,refdesk@gonzaga.edu,http://www.foley.gonzaga.edu,-117.40302,47.66829,{D955F6EF-5F89-4055-9B36-E825DA26F8E0}
-117.40027,47.6633800000001,61,Academic Libraries,4-year,Gonzaga University,Gonzaga University School of Law,,721 N Cincinnati St,Spokane,WA,99220-3528,Spokane,(509) 313-5792,5093133733,,http://www.gonzaga.edu/school-of-law/academics/chastek-library,-117.40027,47.66338,{80E431CF-0941-4DD2-BC8B-2A5B3ECAD13A}
-120.39599,46.3758,62,Academic Libraries,4-year,Heritage University,Heritage University,,3240 Fort Rd,Toppenish,WA,98948-9562,Yakima,509-865-8522,5098654144,Library@heritage.edu,http://libguides.heritage.edu,-120.39599,46.3758,{632504E5-D1FD-463F-BC62-E98EFE9F7C7B}
-122.305804,47.6576353,63,Academic Libraries,4-year,University of Washington Libraries,Music Library,,113 Music Bldg,Seattle,WA,98195-3450,King,(206) 543-1168,,musiclib@uw.edu,http://www.lib.washington.edu/music/,-122.305804,47.6576353,{3603BFB8-1CB0-4177-8E2C-3EA78C8B84CE}
-122.97908,47.07318,64,Academic Libraries,4-year,The Evergreen State College,The Evergreen State College,,2700 Evergreen Parkway NW,Olympia,WA,98505-0002,Thurston,(360) 867-6250,3608676790,libraryhelp@evergreen.edu,http://www.evergreen.edu/library,-122.97908,47.07318,{2EEAB34C-1EA1-4682-A700-3F9D1DB7367F}
-122.3108044,47.6563777000001,65,Academic Libraries,4-year,University of Washington Libraries,Odegaard Undergraduate Library,,4060 George Washington Lane,Seattle,WA,98195-3080,King,(206) 543-2990,,,http://www.lib.washington.edu/ougl/,-122.3108044,47.6563777,{5DC40512-E540-4090-B404-79FD4E261DEB}
-122.3082666,47.6557602,66,Academic Libraries,4-year,University of Washington Libraries,Allen Library,,Allen Library Building,Seattle,WA,98195-2900,King,(206) 543-0242,,,http://www.lib.washington.edu/suzzallo,-122.3082666,47.6557602,{A26B436E-A98C-42E1-B4CA-DB95EE58BC23}
-122.3082666,47.6557602,67,Academic Libraries,4-year,University of Washington Libraries,Suzzallo Library,,Suzzallo Library Building,Seattle,WA,98195-2900,King,(206) 543-0242,,,http://www.lib.washington.edu/suzzallo,-122.3082666,47.6557602,{7A8F9160-4DB0-4041-870F-EF1CB242619E}
-122.43746,47.2441600000001,68,Academic Libraries,4-year,University of Washington Libraries,UW Tacoma Library,,1900 Commerce St,Tacoma,WA,98402,Pierce,(253) 692-4440,2536924445,taclib@uw.edu,http://tacoma.uw.edu/library,-122.43746,47.24416,{78FB95CB-FCF0-4AB4-9773-CADD96E7920B}
-122.3093337,47.6508187000001,69,Academic Libraries,4-year,University of Washington Libraries,Health Sciences Library (HSL),,T-334 Health Sciences Building,Seattle,WA,98195-7155,King,(206) 543-3390,,,http://hsl.uw.edu/,-122.3093337,47.6508187,{457013E0-120B-4DC2-A60A-97BE9CA4FFC6}
-122.19144,47.7597700000001,70,Academic Libraries,4-year,University of Washington Libraries,UW Bothell and Cascadia College Library,,18225 Campus Way NE,Bothell,WA,98011-8246,King,(425) 352-5340,4253525342,http://library.uwb.edu/askus.html,http://library.uwb.edu,-122.19144,47.75977,{4BDF2C3F-EFB2-43AE-AF92-C4BD4DC61D57}
-122.63413,45.72499,71,Academic Libraries,4-year,Washington State University Libraries,Vancouver Library,,14204 NE Salmon Creek Ave,Vancouver,WA,98686-9600,Clark,(360) 546-9680,3605469039,library@wsu.edu,http://library.vancouver.wsu.edu,-122.63413,45.72499,{BE44DA4E-F79A-4ED4-98E0-4A4146BE2C0B}
-122.49714,47.17645,72,Academic Libraries,4-year,Clover Park Technical College,Clover Park Technical College,,4500 Steilacoom Blvd SW,Lakewood,WA,98499-4098,Pierce,(253) 589-5544,2535895726,,http://www.cptc.edu/library,-122.49714,47.17645,{ED3C4AB7-FBDB-4696-9606-6E5F7DE8BE2B}
-122.33628,47.6181500000001,73,Academic Libraries,4-year,Cornish College of the Arts,Cornish College of the Arts,,1000 Lenora Street,Seattle,WA,98121-2718,King,206-726-5041,2063155811,libraryref@cornish.edu,http://www.cornish.edu/library/,-122.33628,47.61815,{959A7DE0-A0B8-4CFE-82A6-5DDAA5CCA460}
-122.36265,47.64962,74,Academic Libraries,4-year,Seattle Pacific University Library,Seattle Pacific University Library,,"3307 3rd Ave W, Ste 306",Seattle,WA,98119-1957,King,206-281-2228,2062812936,,http://spu.edu/library,-122.36265,47.64962,{3B14B5A0-EEE4-406A-8077-967A248428B8}
-122.34615,47.6158100000001,75,Academic Libraries,4-year,Antioch University Seattle,Antioch University Seattle,,2400 Third Avenue Suite 200,Seattle,WA,98121-1814,King,(206) 268-4120,,library.aus@antioch.edu,https://www.antioch.edu/seattle/resources/students/library/,-122.34615,47.61581,{71268DC7-0568-4560-8ECD-554FEF106084}
-122.96066,46.71531,76,Academic Libraries,4-year,Centralia College,Centralia College,,600 Centralia College Blvd,Centralia,WA,98531-4035,Lewis,(360) 623-8956,,librarian@centralia.edu,https://www.centralia.edu/library/,-122.96066,46.71531,{D4A8FEE3-9B4E-4E16-8586-57E40D82D4D7}
-122.3269261,47.8150397000001,77,Academic Libraries,4-year,Central Washington University,CWU - Lynnwood,,"Snoqualmie Hall, #109",Lynnwood,WA,98036-5999,Snohomish,"(425) 640-1574, ext. 3750",4256401488,Lynnwoodlib@cwu.edu,http://www.lib.cwu.edu/lynnwood-campus-library,-122.3269261,47.8150397,{C7EB6C6A-6DCF-4CCF-B74B-0253FC661FAD}
-122.34433,47.6173400000001,78,Academic Libraries,4-year,City University of Seattle Library and Learning Resource Center,City University of Seattle Library and Learning Resource Center,,"521 Wall Street, Suite 100",Seattle,WA,98121,King,206-239-4550,,library@cityu.edu,https://library.cityu.edu/,-122.34433,47.61734,{173E7ADB-5386-432D-A39F-525BBE4FEB8F}
-122.8224,47.0397100000001,79,Academic Libraries,4-year,Saint Martin's University,Saint Martin's University,,5000 Abbey Way SE,Lacey,WA,98503-3200,Thurston,(360) 688-2260,3604868810,circulation@stmartin.edu,http://www.stmartin.edu/library,-122.8224,47.03971,{8A8E0238-9DBB-4794-AB03-56627C45CFF9}
-122.3032431,47.3875883000001,80,Academic Libraries,4-year,Central Washington University,CWU - Des Moines,,"Higher Education Center, Building 29, #360",Des Moines,WA,98198-1007,King,(206) 439-3800 ext 3860,,cwu_desmoines@cwu.edu,http://www.lib.cwu.edu/offcampus/eucs/seatac.html,-122.3032431,47.3875883,{C4DFA6E0-E3ED-4185-B2A6-1E9CB401E149}
-117.1616232,46.729403,81,Academic Libraries,4-year,Washington State University Libraries,Animal Health Library,,170 Wegner Hall,Pullman,WA,99164-6512,Whitman,(509) 335-9556,5093355158,lib.reference@wsu.edu,http://libraries.wsu.edu,-117.1616232,46.729403,{41F2C12F-4E6F-489C-94EF-EF0D8F80EA40}
-122.48768,48.7371800000001,82,Academic Libraries,4-year,Western Washington University,Western Washington University,Western Libraries,516 High St.,Bellingham,WA,98225-5946,Whatcom,(360) 650-3050,3606503044,,https://library.wwu.edu/,-122.48768,48.73718,{7A10D5BB-FE96-46D6-AC45-EE792BA53D72}
-120.55195,46.9992700000001,83,Academic Libraries,4-year,Central Washington University,Central Washington University,,"400 E. University Way, MS 7548",Ellensburg,WA,98926-7548,kittitas,509-963-1901,5099633684,library@cwu.edu,http://www.lib.cwu.edu,-120.55195,46.99927,{7EA8D057-7FE1-42F6-81E5-7BD4030E0BCD}
-122.2909171,47.6580929,84,Academic Libraries,4-year,Elisabeth C. Miller Library,Elisabeth C. Miller Library,,Center for Urban Horticulture,Seattle,WA,98105,King,(206) 543-0415,,hortlib@uw.edu,http://www.millerlibrary.org,-122.2909171,47.6580929,{2908A130-002F-4AE7-A305-E409541413C9}
-122.3210203,47.6088634000001,85,Academic Libraries,4-year,Seattle University,Seattle University,Lemieux Library,Seattle University,Seattle,WA,98122-1090,King,(206) 296-6210,2062962572,library@seattleu.edu,https://www.seattleu.edu//library/,-122.3210203,47.6088634,{7A30F824-DC99-41FC-B3CA-34927E698F20}
-122.4819511,47.2643247,86,Academic Libraries,4-year,University of Puget Sound,University of Puget Sound,,Collins Memorial Library,Tacoma,WA,98416-0004,Pierce,(253) 879-3669,2538793670,libref@pugetsound.edu,http://www.pugetsound.edu/academics/academic-resources/collins-memorial-library/,-122.4819511,47.2643247,{C58E7805-68E0-4665-815C-D5465974093B}
-122.30726,47.6503700000001,87,Academic Libraries,4-year,University of Washington Libraries,University of Washington Libraries,,Box 352900,Seattle,WA,98195-2900,King,(206) 543-0242,2066858727,,http://www.lib.washington.edu,-122.30726,47.65037,{54BD60B8-A826-4FF3-B50F-97A592B2332D}
